,gender,feature,median_income,PROPORTION
0,FEMALES,14 years and under,<10k,0.0007769253180538021
1,FEMALES,14 years and under,10-20k,0.0
2,FEMALES,14 years and under,20-30k,0.0
3,FEMALES,14 years and under,30-50k,0.0
4,FEMALES,14 years and under,50-70k,0.0
5,FEMALES,14 years and under,70-90k,0.0
6,FEMALES,14 years and under,90-110k,0.0
7,FEMALES,14 years and under,110-130k,0.0
8,FEMALES,14 years and under,130-150k,0.0
9,FEMALES,14 years and under,>150k,0.0
10,FEMALES,15 to 17 years,<10k,0.011750995435563757
11,FEMALES,15 to 17 years,10-20k,0.0
12,FEMALES,15 to 17 years,20-30k,0.0
13,FEMALES,15 to 17 years,30-50k,0.0
14,FEMALES,15 to 17 years,50-70k,0.0
15,FEMALES,15 to 17 years,70-90k,0.0
16,FEMALES,15 to 17 years,90-110k,0.0
17,FEMALES,15 to 17 years,110-130k,0.0
18,FEMALES,15 to 17 years,130-150k,0.0
19,FEMALES,15 to 17 years,>150k,0.0
20,FEMALES,18 to 20 years,<10k,0.030397203068855006
21,FEMALES,18 to 20 years,10-20k,0.0
22,FEMALES,18 to 20 years,20-30k,0.0
23,FEMALES,18 to 20 years,30-50k,0.0
24,FEMALES,18 to 20 years,50-70k,0.0
25,FEMALES,18 to 20 years,70-90k,0.0
26,FEMALES,18 to 20 years,90-110k,0.0
27,FEMALES,18 to 20 years,110-130k,0.0
28,FEMALES,18 to 20 years,130-150k,0.0
29,FEMALES,18 to 20 years,>150k,0.0
30,FEMALES,21 to 24 years,<10k,0.0
31,FEMALES,21 to 24 years,10-20k,0.04962610469068661
32,FEMALES,21 to 24 years,20-30k,0.0
33,FEMALES,21 to 24 years,30-50k,0.0
34,FEMALES,21 to 24 years,50-70k,0.0
35,FEMALES,21 to 24 years,70-90k,0.0
36,FEMALES,21 to 24 years,90-110k,0.0
37,FEMALES,21 to 24 years,110-130k,0.0
38,FEMALES,21 to 24 years,130-150k,0.0
39,FEMALES,21 to 24 years,>150k,0.0
40,FEMALES,25 to 29 years,<10k,0.0
41,FEMALES,25 to 29 years,10-20k,0.06438768573370884
42,FEMALES,25 to 29 years,20-30k,0.0
43,FEMALES,25 to 29 years,30-50k,0.0
44,FEMALES,25 to 29 years,50-70k,0.0
45,FEMALES,25 to 29 years,70-90k,0.0
46,FEMALES,25 to 29 years,90-110k,0.0
47,FEMALES,25 to 29 years,110-130k,0.0
48,FEMALES,25 to 29 years,130-150k,0.0
49,FEMALES,25 to 29 years,>150k,0.0
50,FEMALES,30 to 34 years,<10k,0.0
51,FEMALES,30 to 34 years,10-20k,0.0
52,FEMALES,30 to 34 years,20-30k,0.05856074584830533
53,FEMALES,30 to 34 years,30-50k,0.0
54,FEMALES,30 to 34 years,50-70k,0.0
55,FEMALES,30 to 34 years,70-90k,0.0
56,FEMALES,30 to 34 years,90-110k,0.0
57,FEMALES,30 to 34 years,110-130k,0.0
58,FEMALES,30 to 34 years,130-150k,0.0
59,FEMALES,30 to 34 years,>150k,0.0
60,FEMALES,35 to 39 years,<10k,0.0
61,FEMALES,35 to 39 years,10-20k,0.0
62,FEMALES,35 to 39 years,20-30k,0.0
63,FEMALES,35 to 39 years,30-50k,0.05195688064484801
64,FEMALES,35 to 39 years,50-70k,0.0
65,FEMALES,35 to 39 years,70-90k,0.0
66,FEMALES,35 to 39 years,90-110k,0.0
67,FEMALES,35 to 39 years,110-130k,0.0
68,FEMALES,35 to 39 years,130-150k,0.0
69,FEMALES,35 to 39 years,>150k,0.0
70,FEMALES,40 to 44 years,<10k,0.0
71,FEMALES,40 to 44 years,10-20k,0.0
72,FEMALES,40 to 44 years,20-30k,0.0
73,FEMALES,40 to 44 years,30-50k,0.04593570942993105
74,FEMALES,40 to 44 years,50-70k,0.0
75,FEMALES,40 to 44 years,70-90k,0.0
76,FEMALES,40 to 44 years,90-110k,0.0
77,FEMALES,40 to 44 years,110-130k,0.0
78,FEMALES,40 to 44 years,130-150k,0.0
79,FEMALES,40 to 44 years,>150k,0.0
80,FEMALES,45 to 49 years,<10k,0.0
81,FEMALES,45 to 49 years,10-20k,0.0
82,FEMALES,45 to 49 years,20-30k,0.0
83,FEMALES,45 to 49 years,30-50k,0.04632417208895795
84,FEMALES,45 to 49 years,50-70k,0.0
85,FEMALES,45 to 49 years,70-90k,0.0
86,FEMALES,45 to 49 years,90-110k,0.0
87,FEMALES,45 to 49 years,110-130k,0.0
88,FEMALES,45 to 49 years,130-150k,0.0
89,FEMALES,45 to 49 years,>150k,0.0
90,FEMALES,50 to 54 years,<10k,0.0
91,FEMALES,50 to 54 years,10-20k,0.0
92,FEMALES,50 to 54 years,20-30k,0.0
93,FEMALES,50 to 54 years,30-50k,0.04243954549868894
94,FEMALES,50 to 54 years,50-70k,0.0
95,FEMALES,50 to 54 years,70-90k,0.0
96,FEMALES,50 to 54 years,90-110k,0.0
97,FEMALES,50 to 54 years,110-130k,0.0
98,FEMALES,50 to 54 years,130-150k,0.0
99,FEMALES,50 to 54 years,>150k,0.0
100,FEMALES,55 to 59 years,<10k,0.0
101,FEMALES,55 to 59 years,10-20k,0.0
102,FEMALES,55 to 59 years,20-30k,0.0
103,FEMALES,55 to 59 years,30-50k,0.03709818393706905
104,FEMALES,55 to 59 years,50-70k,0.0
105,FEMALES,55 to 59 years,70-90k,0.0
106,FEMALES,55 to 59 years,90-110k,0.0
107,FEMALES,55 to 59 years,110-130k,0.0
108,FEMALES,55 to 59 years,130-150k,0.0
109,FEMALES,55 to 59 years,>150k,0.0
110,FEMALES,60 to 64 years,<10k,0.0
111,FEMALES,60 to 64 years,10-20k,0.0
112,FEMALES,60 to 64 years,20-30k,0.0
113,FEMALES,60 to 64 years,30-50k,0.02641546081382927
114,FEMALES,60 to 64 years,50-70k,0.0
115,FEMALES,60 to 64 years,70-90k,0.0
116,FEMALES,60 to 64 years,90-110k,0.0
117,FEMALES,60 to 64 years,110-130k,0.0
118,FEMALES,60 to 64 years,130-150k,0.0
119,FEMALES,60 to 64 years,>150k,0.0
120,FEMALES,65 to 69 years,<10k,0.0
121,FEMALES,65 to 69 years,10-20k,0.0
122,FEMALES,65 to 69 years,20-30k,0.01272215208313101
123,FEMALES,65 to 69 years,30-50k,0.0
124,FEMALES,65 to 69 years,50-70k,0.0
125,FEMALES,65 to 69 years,70-90k,0.0
126,FEMALES,65 to 69 years,90-110k,0.0
127,FEMALES,65 to 69 years,110-130k,0.0
128,FEMALES,65 to 69 years,130-150k,0.0
129,FEMALES,65 to 69 years,>150k,0.0
130,FEMALES,70 to 74 years,<10k,0.0
131,FEMALES,70 to 74 years,10-20k,0.0050500145673497135
132,FEMALES,70 to 74 years,20-30k,0.0
133,FEMALES,70 to 74 years,30-50k,0.0
134,FEMALES,70 to 74 years,50-70k,0.0
