feature,gender,median_income,number_of_jobs,PROPORTION
20 to 199 employees,Females,<10k,2735.15,0.018575692645176188
20 to 199 employees,Females,10k-20k,7119.45,0.04835154013589734
20 to 199 employees,Females,20k-30k,5733.014,0.03893559987367864
20 to 199 employees,Females,30k-50k,1256.401,0.008532811295575017
20 to 199 employees,Females,50k-70k,4.859,3.2999758902769904e-05
20 to 199 employees,Females,70k-90k,0.0,0.0
20 to 199 employees,Females,90k-110k,0.0,0.0
20 to 199 employees,Females,110k-130k,0.0,0.0
20 to 199 employees,Females,130-150k,0.0,0.0
20 to 199 employees,Females,>150k,0.0,0.0
20 to 199 employees,Males,<10k,1305.015,0.008862971879913206
20 to 199 employees,Males,10k-20k,4696.654,0.03189719070790901
20 to 199 employees,Males,20k-30k,6045.311,0.041056555977004076
20 to 199 employees,Males,30k-50k,6033.873,0.040978875128613486
20 to 199 employees,Males,50k-70k,2000.765,0.013588138016279156
20 to 199 employees,Males,70k-90k,8.078,5.48615049221188e-05
20 to 199 employees,Males,90k-110k,0.0,0.0
20 to 199 employees,Males,110k-130k,0.0,0.0
20 to 199 employees,Males,130-150k,0.0,0.0
20 to 199 employees,Males,>150k,0.0,0.0
200 or more employees,Females,<10k,981.2040000000001,0.006663818776380621
200 or more employees,Females,10k-20k,3618.042,0.024571828298023343
200 or more employees,Females,20k-30k,2774.594,0.018843575437965002
200 or more employees,Females,30k-50k,24326.131,0.16521021980596767
200 or more employees,Females,50k-70k,750.548,0.005097325179040162
200 or more employees,Females,70k-90k,0.099,6.723556557674872e-07
200 or more employees,Females,90k-110k,0.0,0.0
200 or more employees,Females,110k-130k,0.0,0.0
200 or more employees,Females,130-150k,0.0,0.0
200 or more employees,Females,>150k,0.0,0.0
200 or more employees,Males,<10k,824.992,0.00560290946629223
200 or more employees,Males,10k-20k,1193.536,0.008105865454162663
200 or more employees,Males,20k-30k,4153.685,0.02820963234370278
200 or more employees,Males,30k-50k,11662.778,0.07920742171980427
200 or more employees,Males,50k-70k,12771.937,0.08674024320258619
200 or more employees,Males,70k-90k,956.121,0.006493468302505713
200 or more employees,Males,90k-110k,9.555,6.489250798846808e-05
200 or more employees,Males,110k-130k,0.0,0.0
200 or more employees,Males,130-150k,0.0,0.0
200 or more employees,Males,>150k,0.463,3.144451198185319e-06
5 to 19 employees,Females,<10k,2505.089,0.0170132399732416
5 to 19 employees,Females,10k-20k,6628.174,0.04501505329607079
5 to 19 employees,Females,20k-30k,1450.358,0.00985006468876385
5 to 19 employees,Females,30k-50k,31.582,0.0002144882456610988
5 to 19 employees,Females,50k-70k,0.0,0.0
5 to 19 employees,Females,70k-90k,0.0,0.0
5 to 19 employees,Females,90k-110k,0.0,0.0
5 to 19 employees,Females,110k-130k,0.0,0.0
5 to 19 employees,Females,130-150k,0.0,0.0
5 to 19 employees,Females,>150k,0.0,0.0
5 to 19 employees,Males,<10k,851.033,0.005779766169644161
5 to 19 employees,Males,10k-20k,4536.695,0.030810833754970506
5 to 19 employees,Males,20k-30k,2739.648,0.018606240682950352
5 to 19 employees,Males,30k-50k,3021.352,0.0205194253057011
5 to 19 employees,Males,50k-70k,103.112,0.0007002821856312842
5 to 19 employees,Males,70k-90k,0.0,0.0
5 to 19 employees,Males,90k-110k,0.0,0.0
5 to 19 employees,Males,110k-130k,0.0,0.0
5 to 19 employees,Males,130-150k,0.0,0.0
5 to 19 employees,Males,>150k,0.0,0.0
Fewer than 5 employees,Females,<10k,1896.148,0.012877634666385952
Fewer than 5 employees,Females,10k-20k,6954.319,0.04723005769354845
Fewer than 5 employees,Females,20k-30k,980.5649999999999,0.006659479026238849
Fewer than 5 employees,Females,30k-50k,0.0,0.0
Fewer than 5 employees,Females,50k-70k,0.0,0.0
Fewer than 5 employees,Females,70k-90k,0.0,0.0
Fewer than 5 employees,Females,90k-110k,0.0,0.0
Fewer than 5 employees,Females,110k-130k,0.0,0.0
Fewer than 5 employees,Females,130-150k,0.0,0.0
Fewer than 5 employees,Females,>150k,0.0,0.0
Fewer than 5 employees,Males,<10k,649.136,0.00440858849456852
Fewer than 5 employees,Males,10k-20k,6123.025,0.04158434837531028
Fewer than 5 employees,Males,20k-30k,7713.099,0.05238329026408636
Fewer than 5 employees,Males,30k-50k,81.136,0.0005510328129934428
Fewer than 5 employees,Males,50k-70k,14.61,9.92233952602322e-05
Fewer than 5 employees,Males,70k-90k,0.0,0.0
Fewer than 5 employees,Males,90k-110k,0.0,0.0
Fewer than 5 employees,Males,110k-130k,0.0,0.0
Fewer than 5 employees,Males,130-150k,0.0,0.0
Fewer than 5 employees,Males,>150k,0.0,0.0
