feature,gender,median_income,number_of_jobs,PROPORTION
1 to 13 weeks,Females,<10k,10818.768,0.0775527672630757
1 to 13 weeks,Females,10k-20k,0.0,0.0
1 to 13 weeks,Females,20k-30k,0.0,0.0
1 to 13 weeks,Females,30k-50k,0.0,0.0
1 to 13 weeks,Females,50k-70k,0.0,0.0
1 to 13 weeks,Females,70k-90k,0.0,0.0
1 to 13 weeks,Females,90k-110k,0.0,0.0
1 to 13 weeks,Females,110k-130k,0.0,0.0
1 to 13 weeks,Females,130-150k,0.0,0.0
1 to 13 weeks,Females,>150k,0.0,0.0
1 to 13 weeks,Males,<10k,12079.524,0.08659031355702766
1 to 13 weeks,Males,10k-20k,56.609,0.0004057933955137454
1 to 13 weeks,Males,20k-30k,0.0,0.0
1 to 13 weeks,Males,30k-50k,0.0,0.0
1 to 13 weeks,Males,50k-70k,0.0,0.0
1 to 13 weeks,Males,70k-90k,0.0,0.0
1 to 13 weeks,Males,90k-110k,0.0,0.0
1 to 13 weeks,Males,110k-130k,0.0,0.0
1 to 13 weeks,Males,130-150k,0.0,0.0
1 to 13 weeks,Males,>150k,0.0,0.0
14 to 26 weeks,Females,<10k,2666.138,0.01911182306573559
14 to 26 weeks,Females,10k-20k,6667.243,0.0477931632017038
14 to 26 weeks,Females,20k-30k,42.704,0.00030611742235367136
14 to 26 weeks,Females,30k-50k,0.087,6.236468655107111e-07
14 to 26 weeks,Females,50k-70k,0.0,0.0
14 to 26 weeks,Females,70k-90k,0.0,0.0
14 to 26 weeks,Females,90k-110k,0.0,0.0
14 to 26 weeks,Females,110k-130k,0.0,0.0
14 to 26 weeks,Females,130-150k,0.0,0.0
14 to 26 weeks,Females,>150k,0.0,0.0
14 to 26 weeks,Males,<10k,910.518,0.006526916053920479
14 to 26 weeks,Males,10k-20k,6712.636,0.04811855633005009
14 to 26 weeks,Males,20k-30k,2189.716,0.015696661146651174
14 to 26 weeks,Males,30k-50k,64.207,0.0004602585551016808
14 to 26 weeks,Males,50k-70k,0.0,0.0
14 to 26 weeks,Males,70k-90k,0.0,0.0
14 to 26 weeks,Males,90k-110k,0.0,0.0
14 to 26 weeks,Males,110k-130k,0.0,0.0
14 to 26 weeks,Males,130-150k,0.0,0.0
14 to 26 weeks,Males,>150k,0.0,0.0
27 to 39 weeks,Females,<10k,554.0219999999999,0.003971426249700864
27 to 39 weeks,Females,10k-20k,4644.1,0.0332905564151528
27 to 39 weeks,Females,20k-30k,1859.603,0.013330294046486378
27 to 39 weeks,Females,30k-50k,60.886,0.000436452448890634
27 to 39 weeks,Females,50k-70k,0.026,1.863772241756148e-07
27 to 39 weeks,Females,70k-90k,0.0,0.0
27 to 39 weeks,Females,90k-110k,0.0,0.0
27 to 39 weeks,Females,110k-130k,0.0,0.0
27 to 39 weeks,Females,130-150k,0.0,0.0
27 to 39 weeks,Females,>150k,0.0,0.0
27 to 39 weeks,Males,<10k,278.161,0.0019939567328428154
27 to 39 weeks,Males,10k-20k,2051.213,0.014703822505112901
27 to 39 weeks,Males,20k-30k,2845.891,0.020400356341783256
27 to 39 weeks,Males,30k-50k,2287.391,0.01639683019939553
27 to 39 weeks,Males,50k-70k,53.062,0.0003803672411233259
27 to 39 weeks,Males,70k-90k,0.848,6.078764850035437e-06
27 to 39 weeks,Males,90k-110k,0.0,0.0
27 to 39 weeks,Males,110k-130k,0.0,0.0
27 to 39 weeks,Males,130-150k,0.0,0.0
27 to 39 weeks,Males,>150k,0.0,0.0
40 to 52 weeks,Females,<10k,291.228,0.002087625624700614
40 to 52 weeks,Females,10k-20k,949.272,0.006804718474909009
40 to 52 weeks,Females,20k-30k,3557.524,0.02550159415608192
40 to 52 weeks,Females,30k-50k,30446.213,0.21824925636921225
40 to 52 weeks,Females,50k-70k,5234.773,0.037524710035748296
40 to 52 weeks,Females,70k-90k,20.687,0.00014829175525080555
40 to 52 weeks,Females,90k-110k,0.0,0.0
40 to 52 weeks,Females,110k-130k,0.0,0.0
40 to 52 weeks,Females,130-150k,0.0,0.0
40 to 52 weeks,Females,>150k,0.0,0.0
40 to 52 weeks,Males,<10k,264.61,0.00189681835727344
40 to 52 weeks,Males,10k-20k,921.18,0.006603345052542032
40 to 52 weeks,Males,20k-30k,628.165,0.004502909577856734
40 to 52 weeks,Males,30k-50k,6689.9039999999995,0.047955605289282395
40 to 52 weeks,Males,50k-70k,23418.685,0.16787344246704264
40 to 52 weeks,Males,70k-90k,10210.497,0.0731924649351324
40 to 52 weeks,Males,90k-110k,22.531,0.0001615102014577222
40 to 52 weeks,Males,110k-130k,0.833,5.971239528395659e-06
40 to 52 weeks,Males,130-150k,0.0,0.0
40 to 52 weeks,Males,>150k,0.0,0.0
