feature,gender,median_income,number_of_jobs,PROPORTION
Australian Citizen,Females,<10k,73.288,0.0002440772793799899
Australian Citizen,Females,10k-20k,293.716,0.0009781874548408077
Australian Citizen,Females,20k-30k,240.982,0.0008025629153415119
Australian Citizen,Females,30k-50k,112.53999999999999,0.0003748015639862469
Australian Citizen,Females,50k-70k,25.774,8.583735125450088e-05
Australian Citizen,Females,70k-90k,2.07,6.893897613750942e-06
Australian Citizen,Females,90k-110k,0.336,1.1190094677392835e-06
Australian Citizen,Females,110k-130k,0.22,7.326847705435784e-07
Australian Citizen,Females,130-150k,0.077,2.5643966969025245e-07
Australian Citizen,Females,>150k,0.027,8.9920403657621e-08
Australian Citizen,Males,<10k,39.465,0.00013143365667955603
Australian Citizen,Males,10k-20k,71.93,0.00023955461611454366
Australian Citizen,Males,20k-30k,235.134,0.0007830868219863353
Australian Citizen,Males,30k-50k,206.892,0.0006890300797604638
Australian Citizen,Males,50k-70k,88.788,0.00029569825185010566
Australian Citizen,Males,70k-90k,19.628,6.536880307376981e-05
Australian Citizen,Males,90k-110k,3.6959999999999997,1.2309104145132117e-05
Australian Citizen,Males,110k-130k,0.732,2.4378420547177245e-06
Australian Citizen,Males,130-150k,0.562,1.871676550206778e-06
Australian Citizen,Males,>150k,0.255,8.492482567664205e-07
Bridging visas,Females,<10k,724.4879999999999,0.002412824200188982
Bridging visas,Females,10k-20k,2145.288,0.0071446356637722384
Bridging visas,Females,20k-30k,241.041,0.0008027594080754304
Bridging visas,Females,30k-50k,4.61,1.5353076328208623e-05
Bridging visas,Females,50k-70k,0.632,2.104803522652462e-06
Bridging visas,Females,70k-90k,0.0,0.0
Bridging visas,Females,90k-110k,0.006,1.998231192391578e-08
Bridging visas,Females,110k-130k,0.0,0.0
Bridging visas,Females,130-150k,0.0,0.0
Bridging visas,Females,>150k,0.0,0.0
Bridging visas,Males,<10k,261.973,0.0008724710336073313
Bridging visas,Males,10k-20k,3094.127,0.010304635141034958
Bridging visas,Males,20k-30k,588.607,0.001960288112433382
Bridging visas,Males,30k-50k,64.397,0.0002144668234940674
Bridging visas,Males,50k-70k,4.374,1.45671053925346e-05
Bridging visas,Males,70k-90k,1.519,5.058855302071344e-06
Bridging visas,Males,90k-110k,0.9179999999999999,3.0572937243591136e-06
Bridging visas,Males,110k-130k,0.11699999999999999,3.896550825163576e-07
Bridging visas,Males,130-150k,0.0,0.0
Bridging visas,Males,>150k,0.0,0.0
NZ Citizen (subclass 444),Females,<10k,144.234,0.0004803547963390114
NZ Citizen (subclass 444),Females,10k-20k,821.074,0.002734492796769537
NZ Citizen (subclass 444),Females,20k-30k,3483.788,0.011602356415465783
NZ Citizen (subclass 444),Females,30k-50k,1619.365,0.0053931094247786455
NZ Citizen (subclass 444),Females,50k-70k,159.184,0.0005301440568827681
NZ Citizen (subclass 444),Females,70k-90k,29.188,9.720728673920895e-05
NZ Citizen (subclass 444),Females,90k-110k,0.163,5.428528072663787e-07
NZ Citizen (subclass 444),Females,110k-130k,0.0,0.0
NZ Citizen (subclass 444),Females,130-150k,0.0,0.0
NZ Citizen (subclass 444),Females,>150k,0.0,0.0
NZ Citizen (subclass 444),Males,<10k,41.957,0.00013973297689862238
NZ Citizen (subclass 444),Males,10k-20k,913.254,0.0030414877156272964
NZ Citizen (subclass 444),Males,20k-30k,353.75399999999996,0.0011781371287221502
NZ Citizen (subclass 444),Males,30k-50k,5270.013,0.017551173934848525
NZ Citizen (subclass 444),Males,50k-70k,931.974,0.003103832528829914
NZ Citizen (subclass 444),Males,70k-90k,33.512,0.00011160787286571092
NZ Citizen (subclass 444),Males,90k-110k,59.378,0.00019775161956971183
NZ Citizen (subclass 444),Males,110k-130k,58.187,0.00019378513065281455
NZ Citizen (subclass 444),Males,130-150k,0.0,0.0
NZ Citizen (subclass 444),Males,>150k,0.0,0.0
Permanent,Females,<10k,661.224,0.002202130703263214
Permanent,Females,10k-20k,7801.901,0.02598333656358507
Permanent,Females,20k-30k,21422.537,0.07134530275593783
Permanent,Females,30k-50k,14091.279,0.04692938873082066
Permanent,Females,50k-70k,1235.611,0.004115060736436916
Permanent,Females,70k-90k,138.828,0.00046235073329556326
Permanent,Females,90k-110k,31.64,0.0001053733915454492
Permanent,Females,110k-130k,0.0,0.0
Permanent,Females,130-150k,0.0,0.0
Permanent,Females,>150k,0.0,0.0
Permanent,Males,<10k,210.555,0.0007012292811900145
Permanent,Males,10k-20k,4078.63,0.013583409480373435
Permanent,Males,20k-30k,5991.354,0.019953517412433414
Permanent,Males,30k-50k,26771.376,0.0891589976440721
Permanent,Males,50k-70k,7678.602,0.02557270338393392
Permanent,Males,70k-90k,1885.013,0.006277819624439375
Permanent,Males,90k-110k,189.33,0.0006305418527591624
Permanent,Males,110k-130k,266.932,0.0008889864144124477
Permanent,Males,130-150k,50.818999999999996,0.00016924685161024596
Permanent,Males,>150k,0.0,0.0
Permanent Family,Females,<10k,78.082,0.0002600431466071986
Permanent Family,Females,10k-20k,3092.345,0.010298700394393555
Permanent Family,Females,20k-30k,9814.523,0.0326861433284076
Permanent Family,Females,30k-50k,2386.111,0.007946669047847766
Permanent Family,Females,50k-70k,119.757,0.00039883695484539694
Permanent Family,Females,70k-90k,20.22,6.734039118359617e-05
Permanent Family,Females,90k-110k,0.0,0.0
Permanent Family,Females,110k-130k,0.0,0.0
Permanent Family,Females,130-150k,0.0,0.0
Permanent Family,Females,>150k,0.0,0.0
Permanent Family,Males,<10k,57.845,0.00019264613887315135
Permanent Family,Males,10k-20k,1304.48,0.004344421043084942
Permanent Family,Males,20k-30k,1237.123,0.004120096279041743
Permanent Family,Males,30k-50k,6478.377,0.021575491662453622
Permanent Family,Males,50k-70k,936.827,0.003119994888791041
Permanent Family,Males,70k-90k,28.039,9.338067400577908e-05
Permanent Family,Males,90k-110k,40.073,0.00013345853095451281
Permanent Family,Males,110k-130k,0.566,1.884998091489388e-06
Permanent Family,Males,130-150k,0.0,0.0
Permanent Family,Males,>150k,0.0,0.0
Permanent Humanitarian,Females,<10k,359.661,0.0011978097148112453
Permanent Humanitarian,Females,10k-20k,1428.153,0.004756299786846015
Permanent Humanitarian,Females,20k-30k,370.978,0.0012354996854850712
Permanent Humanitarian,Females,30k-50k,34.106,0.00011358612174617859
Permanent Humanitarian,Females,50k-70k,1.047,3.486913430723303e-06
Permanent Humanitarian,Females,70k-90k,0.184,6.127908990000838e-07
Permanent Humanitarian,Females,90k-110k,0.051000000000000004,1.698496513532841e-07
Permanent Humanitarian,Females,110k-130k,0.0,0.0
Permanent Humanitarian,Females,130-150k,0.0,0.0
Permanent Humanitarian,Females,>150k,0.0,0.0
Permanent Humanitarian,Males,<10k,410.817,0.0013681789062745513
