feature,year,gender,number_of_jobs,median_income
0-5 years,2017-18,Males,3.647,12417
0-5 years,2018-19,Males,3.324,16901
0-5 years,2019-20,Males,3.564,16534
0-5 years,2020-21,Males,3.889,12880
0-5 years,2021-22,Males,3.116,14858
0-5 years,2017-18,Males,3.07,103774
0-5 years,2018-19,Males,2.741,105276
0-5 years,2019-20,Males,2.254,110365
0-5 years,2020-21,Males,2.038,112924
0-5 years,2021-22,Males,2.278,97358
0-5 years,2017-18,Males,19.591,40314
0-5 years,2018-19,Males,18.915,44759
0-5 years,2019-20,Males,17.206,46227
0-5 years,2020-21,Males,16.948,43596
0-5 years,2021-22,Males,15.801,41342
0-5 years,2017-18,Males,1.679,58660
0-5 years,2018-19,Males,1.806,58541
0-5 years,2019-20,Males,1.659,66610
0-5 years,2020-21,Males,1.674,71499
0-5 years,2021-22,Males,1.493,69336
0-5 years,2017-18,Males,25.492,32069
0-5 years,2018-19,Males,23.062,34400
0-5 years,2019-20,Males,20.483,34866
0-5 years,2020-21,Males,20.003,34877
0-5 years,2021-22,Males,18.6,33488
0-5 years,2017-18,Males,13.836,42261
0-5 years,2018-19,Males,12.605,48458
0-5 years,2019-20,Males,11.301,51424
0-5 years,2020-21,Males,10.75,49298
0-5 years,2021-22,Males,9.477,45632
0-5 years,2017-18,Males,18.482,22331
0-5 years,2018-19,Males,16.897,24638
0-5 years,2019-20,Males,15.637,25239
0-5 years,2020-21,Males,15.522,24491
0-5 years,2021-22,Males,15.776,19993
0-5 years,2017-18,Males,22.48,13708
0-5 years,2018-19,Males,21.192,15112
0-5 years,2019-20,Males,21.193,16012
0-5 years,2020-21,Males,21.325,13695
0-5 years,2021-22,Males,21.565,11323
0-5 years,2017-18,Males,16.653,12778
0-5 years,2018-19,Males,17.513,12480
0-5 years,2019-20,Males,16.593,11980
0-5 years,2020-21,Males,16.372,12045
0-5 years,2021-22,Males,16.294,10217
0-5 years,2017-18,Males,5.936,57502
0-5 years,2018-19,Males,5.986,57803
0-5 years,2019-20,Males,5.477,64913
0-5 years,2020-21,Males,5.149,61167
0-5 years,2021-22,Males,5.601,76646
0-5 years,2017-18,Males,10.793,57849
0-5 years,2018-19,Males,11.332,61759
0-5 years,2019-20,Males,11.002,70641
0-5 years,2020-21,Males,10.83,72565
0-5 years,2021-22,Males,10.288,68414
0-5 years,2017-18,Males,4.559,28470
0-5 years,2018-19,Males,4.157,29178
0-5 years,2019-20,Males,3.599,31369
0-5 years,2020-21,Males,3.342,29500
0-5 years,2021-22,Males,3.135,27777
0-5 years,2017-18,Males,43.806,55001
0-5 years,2018-19,Males,44.4,61544
0-5 years,2019-20,Males,39.069,66329
0-5 years,2020-21,Males,38.338,66491
0-5 years,2021-22,Males,36.765,63637
0-5 years,2017-18,Males,38.105,15778
0-5 years,2018-19,Males,35.307,17854
0-5 years,2019-20,Males,31.743,18750
0-5 years,2020-21,Males,31.443,16207
0-5 years,2021-22,Males,30.542,15030
0-5 years,2017-18,Males,6.868,33412
0-5 years,2018-19,Males,6.629,38537
0-5 years,2019-20,Males,6.001,36678
0-5 years,2020-21,Males,6.212,38689
0-5 years,2021-22,Males,6.158,36907
0-5 years,2017-18,Males,12.449,32529
0-5 years,2018-19,Males,11.562,36703
0-5 years,2019-20,Males,11.518,41760
0-5 years,2020-21,Males,11.297,42970
0-5 years,2021-22,Males,10.772,41115
0-5 years,2017-18,Males,20.575,43257
0-5 years,2018-19,Males,19.582,46014
0-5 years,2019-20,Males,18.081,45992
0-5 years,2020-21,Males,21.294,47158
0-5 years,2021-22,Males,22.269,40868
0-5 years,2017-18,Males,3.322,18247
0-5 years,2018-19,Males,3.192,21506
0-5 years,2019-20,Males,2.947,21928
0-5 years,2020-21,Males,3.011,20517
0-5 years,2021-22,Males,2.931,15311
0-5 years,2017-18,Males,7.418,21370
0-5 years,2018-19,Males,7.292,23376
0-5 years,2019-20,Males,7.156,23230
0-5 years,2020-21,Males,7.363,23138
0-5 years,2021-22,Males,6.633,22153
0-5 years,2017-18,Males,291.796,29602
0-5 years,2018-19,Males,276.607,33245
0-5 years,2019-20,Males,253.324,34891
0-5 years,2020-21,Males,251.211,32393
0-5 years,2021-22,Males,243.095,29944
0-5 years,2017-18,Males,2.633,16169
0-5 years,2018-19,Males,2.389,21426
0-5 years,2019-20,Males,2.48,22646
0-5 years,2020-21,Males,2.661,16412
0-5 years,2021-22,Males,2.099,20953
0-5 years,2017-18,Males,2.81,109377
0-5 years,2018-19,Males,2.519,108724
0-5 years,2019-20,Males,2.062,114003
0-5 years,2020-21,Males,1.851,116980
0-5 years,2021-22,Males,2.044,102332
0-5 years,2017-18,Males,15.552,43345
0-5 years,2018-19,Males,14.953,48223
0-5 years,2019-20,Males,13.517,49848
0-5 years,2020-21,Males,13.124,47909
