feature,year,gender,number_of_jobs,median_income
Fewer than 5 employees,2017-18,MALES,1948.802,20272.0
Fewer than 5 employees,2018-19,MALES,1740.089,21017.0
Fewer than 5 employees,2019-20,MALES,1822.11,22248.0
Fewer than 5 employees,2020-21,MALES,1798.138,24978.0
Fewer than 5 employees,2021-22,MALES,1880.878,23449.0
Fewer than 5 employees,2017-18,FEMALES,1322.296,13000.0
Fewer than 5 employees,2018-19,FEMALES,1191.106,13311.0
Fewer than 5 employees,2019-20,FEMALES,1238.326,15143.0
Fewer than 5 employees,2020-21,FEMALES,1255.38,16652.0
Fewer than 5 employees,2021-22,FEMALES,1333.352,14408.0
Fewer than 5 employees,2017-18,PERSONS,3271.134,17148.0
Fewer than 5 employees,2018-19,PERSONS,2931.2,17707.0
Fewer than 5 employees,2019-20,PERSONS,3060.435,19158.0
Fewer than 5 employees,2020-21,PERSONS,3055.677,21200.0
Fewer than 5 employees,2021-22,PERSONS,3215.88,19246.0
5–19 employees,2017-18,MALES,1455.386,24923.0
5–19 employees,2018-19,MALES,1440.017,26000.0
5–19 employees,2019-20,MALES,1445.801,28876.5
5–19 employees,2020-21,MALES,1602.809,28198.0
5–19 employees,2021-22,MALES,1685.78,27468.0
5–19 employees,2017-18,FEMALES,1297.363,14110.0
5–19 employees,2018-19,FEMALES,1331.277,14807.0
5–19 employees,2019-20,FEMALES,1340.685,16841.0
5–19 employees,2020-21,FEMALES,1502.554,16751.0
5–19 employees,2021-22,FEMALES,1619.137,14170.0
5–19 employees,2017-18,PERSONS,2752.782,18684.0
5–19 employees,2018-19,PERSONS,2771.296,19480.0
5–19 employees,2019-20,PERSONS,2786.484,21800.0
5–19 employees,2020-21,PERSONS,3108.306,21514.0
5–19 employees,2021-22,PERSONS,3308.091,19487.0
20–199 employees,2017-18,MALES,2195.567,29494.0
20–199 employees,2018-19,MALES,2406.807,31279.0
20–199 employees,2019-20,MALES,2291.485,34173.0
20–199 employees,2020-21,MALES,2421.899,33846.0
20–199 employees,2021-22,MALES,2640.354,32019.0
20–199 employees,2017-18,FEMALES,1878.297,18327.0
20–199 employees,2018-19,FEMALES,2042.925,18750.0
20–199 employees,2019-20,FEMALES,1953.645,21114.0
20–199 employees,2020-21,FEMALES,2060.226,21104.0
20–199 employees,2021-22,FEMALES,2311.614,18777.0
20–199 employees,2017-18,PERSONS,4073.927,23232.0
20–199 employees,2018-19,PERSONS,4449.735,24311.0
20–199 employees,2019-20,PERSONS,4245.128,26858.0
20–199 employees,2020-21,PERSONS,4486.138,26658.0
20–199 employees,2021-22,PERSONS,4956.268,24547.0
200 or more employees,2017-18,MALES,3672.057,53563.0
200 or more employees,2018-19,MALES,3925.387,53135.0
200 or more employees,2019-20,MALES,3894.912,54821.0
200 or more employees,2020-21,MALES,4017.794,55956.0
200 or more employees,2021-22,MALES,4448.734,50030.0
200 or more employees,2017-18,FEMALES,4142.069,35605.0
200 or more employees,2018-19,FEMALES,4464.61,35795.0
200 or more employees,2019-20,FEMALES,4358.722,37749.0
200 or more employees,2020-21,FEMALES,4642.609,39478.0
200 or more employees,2021-22,FEMALES,5271.693,34307.5
200 or more employees,2017-18,PERSONS,7814.218,42507.0
200 or more employees,2018-19,PERSONS,8389.997,42421.0
200 or more employees,2019-20,PERSONS,8253.635,44347.0
200 or more employees,2020-21,PERSONS,8663.786,45728.0
200 or more employees,2021-22,PERSONS,9723.622,40184.5
Job duration,2017-18,MALES,,
Job duration,2018-19,MALES,,
Job duration,2019-20,MALES,,
Job duration,2020-21,MALES,,
Job duration,2021-22,MALES,,
Job duration,2017-18,FEMALES,,
Job duration,2018-19,FEMALES,,
Job duration,2019-20,FEMALES,,
Job duration,2020-21,FEMALES,,
Job duration,2021-22,FEMALES,,
Job duration,2017-18,PERSONS,,
Job duration,2018-19,PERSONS,,
Job duration,2019-20,PERSONS,,
Job duration,2020-21,PERSONS,,
Job duration,2021-22,PERSONS,,
