feature,year,gender,number_of_jobs,median_income
1 to 13 weeks,2017-18,Males,169.697,5540.0
1 to 13 weeks,2018-19,Males,166.053,6087.0
1 to 13 weeks,2019-20,Males,128.068,6347.0
1 to 13 weeks,2020-21,Males,183.838,5669.0
1 to 13 weeks,2021-22,Males,233.204,5814.0
14 to 26 weeks,2017-18,Males,132.812,20464.0
14 to 26 weeks,2018-19,Males,136.311,20933.0
14 to 26 weeks,2019-20,Males,142.975,19458.0
14 to 26 weeks,2020-21,Males,158.638,19950.0
14 to 26 weeks,2021-22,Males,213.502,21002.0
27 to 39 weeks,2017-18,Males,103.604,33997.0
27 to 39 weeks,2018-19,Males,113.246,33996.0
27 to 39 weeks,2019-20,Males,112.56,31628.0
27 to 39 weeks,2020-21,Males,125.407,31725.0
27 to 39 weeks,2021-22,Males,166.182,34422.0
40 to 52 weeks,2017-18,Males,761.802,63558.0
40 to 52 weeks,2018-19,Males,824.039,65845.0
40 to 52 weeks,2019-20,Males,888.747,66507.0
40 to 52 weeks,2020-21,Males,941.779,70562.0
40 to 52 weeks,2021-22,Males,994.212,72354.0
1 to 13 weeks,2017-18,Females,143.528,3402.0
1 to 13 weeks,2018-19,Females,149.47,3596.0
1 to 13 weeks,2019-20,Females,110.702,3842.0
1 to 13 weeks,2020-21,Females,180.711,3535.0
1 to 13 weeks,2021-22,Females,246.848,3580.0
14 to 26 weeks,2017-18,Females,125.437,12750.0
14 to 26 weeks,2018-19,Females,133.573,13137.0
14 to 26 weeks,2019-20,Females,139.506,12328.0
14 to 26 weeks,2020-21,Females,164.086,12851.0
14 to 26 weeks,2021-22,Females,235.008,13181.0
27 to 39 weeks,2017-18,Females,97.353,20892.0
27 to 39 weeks,2018-19,Females,109.743,20744.0
27 to 39 weeks,2019-20,Females,112.227,18589.0
27 to 39 weeks,2020-21,Females,129.069,20848.0
27 to 39 weeks,2021-22,Females,184.03,21008.0
40 to 52 weeks,2017-18,Females,768.155,42736.0
40 to 52 weeks,2018-19,Females,841.731,44298.0
40 to 52 weeks,2019-20,Females,903.051,44908.0
40 to 52 weeks,2020-21,Females,976.85,48816.0
40 to 52 weeks,2021-22,Females,1069.461,48448.0
1 to 13 weeks,2017-18,Persons,313.224,4433.0
1 to 13 weeks,2018-19,Persons,315.519,4726.0
1 to 13 weeks,2019-20,Persons,238.766,5042.0
1 to 13 weeks,2020-21,Persons,364.573,4455.0
1 to 13 weeks,2021-22,Persons,480.078,4520.0
14 to 26 weeks,2017-18,Persons,258.253,16382.0
14 to 26 weeks,2018-19,Persons,269.882,16766.0
14 to 26 weeks,2019-20,Persons,282.479,15552.0
14 to 26 weeks,2020-21,Persons,322.738,15952.0
14 to 26 weeks,2021-22,Persons,448.532,16428.0
27 to 39 weeks,2017-18,Persons,200.956,27125.0
27 to 39 weeks,2018-19,Persons,222.986,26854.0
27 to 39 weeks,2019-20,Persons,224.783,24342.0
27 to 39 weeks,2020-21,Persons,254.477,25320.0
27 to 39 weeks,2021-22,Persons,350.227,26502.0
40 to 52 weeks,2017-18,Persons,1529.956,51997.0
40 to 52 weeks,2018-19,Persons,1665.771,53920.0
40 to 52 weeks,2019-20,Persons,1791.8,54386.0
40 to 52 weeks,2020-21,Persons,1918.653,58367.0
40 to 52 weeks,2021-22,Persons,2063.721,58770.0
1 to 13 weeks,2017-18,Males,106.379,6464.0
1 to 13 weeks,2018-19,Males,105.687,7174.0
1 to 13 weeks,2019-20,Males,81.736,7406.0
1 to 13 weeks,2020-21,Males,113.122,6753.0
1 to 13 weeks,2021-22,Males,145.929,7127.0
14 to 26 weeks,2017-18,Males,86.273,22939.0
14 to 26 weeks,2018-19,Males,88.648,23689.0
