feature,year,gender,number_of_jobs,median_income
Permanent,2017-18,Males,12.907,18262
Permanent,2018-19,Males,13.263,20677
Permanent,2019-20,Males,13.79,21755
Permanent,2020-21,Males,15.876,19162
Permanent,2021-22,Males,15.983,21158
Permanent,2017-18,Males,18.192,117195
Permanent,2018-19,Males,20.344,117565
Permanent,2019-20,Males,21.976,122249
Permanent,2020-21,Males,23.009,128048
Permanent,2021-22,Males,27.31,121012
Permanent,2017-18,Males,105.645,52274
Permanent,2018-19,Males,110.134,55375
Permanent,2019-20,Males,109.633,57163
Permanent,2020-21,Males,119.129,57587
Permanent,2021-22,Males,128.872,57102
Permanent,2017-18,Males,11.352,87920
Permanent,2018-19,Males,12.652,87054
Permanent,2019-20,Males,13.329,91315
Permanent,2020-21,Males,14.94,95240
Permanent,2021-22,Males,16.388,94152
Permanent,2017-18,Males,126.189,36702
Permanent,2018-19,Males,132.369,38397
Permanent,2019-20,Males,134.931,39158
Permanent,2020-21,Males,146.511,40970
Permanent,2021-22,Males,158.539,40682
Permanent,2017-18,Males,67.73,53731
Permanent,2018-19,Males,69.55,56533
Permanent,2019-20,Males,71.016,59996
Permanent,2020-21,Males,76.179,59203
Permanent,2021-22,Males,80.48,59228
Permanent,2017-18,Males,97.542,25729
Permanent,2018-19,Males,101.35,27064
Permanent,2019-20,Males,105.952,28602
Permanent,2020-21,Males,115.332,28649
Permanent,2021-22,Males,134.304,23307
Permanent,2017-18,Males,96.79,14702
Permanent,2018-19,Males,101.077,15421
Permanent,2019-20,Males,107.503,17238
Permanent,2020-21,Males,117.979,16711
Permanent,2021-22,Males,134.81,12338
Permanent,2017-18,Males,95.569,20001
Permanent,2018-19,Males,107.229,20823
Permanent,2019-20,Males,115.006,20384
Permanent,2020-21,Males,121.281,26818
Permanent,2021-22,Males,137.084,20118
Permanent,2017-18,Males,27.948,67706
Permanent,2018-19,Males,29.946,67367
Permanent,2019-20,Males,30.516,74696
Permanent,2020-21,Males,32.695,71063
Permanent,2021-22,Males,38.668,77998
Permanent,2017-18,Males,57.207,64812
Permanent,2018-19,Males,65.023,66177
Permanent,2019-20,Males,71.265,70283
Permanent,2020-21,Males,78.995,72000
Permanent,2021-22,Males,93.631,66827
Permanent,2017-18,Males,22.694,32867
