,gender,feature,median_income,PROPORTION
0,FEMALES,Accommodation and food services,<10k,0.04711821623895667
1,FEMALES,Accommodation and food services,10-20k,0.0
2,FEMALES,Accommodation and food services,20-30k,0.0
3,FEMALES,Accommodation and food services,30-50k,0.0
4,FEMALES,Accommodation and food services,50-70k,0.0
5,FEMALES,Accommodation and food services,70-90k,0.0
6,FEMALES,Accommodation and food services,90-110k,0.0
7,FEMALES,Accommodation and food services,110-130k,0.0
8,FEMALES,Accommodation and food services,130-150k,0.0
9,FEMALES,Accommodation and food services,>150k,0.0
10,FEMALES,Administrative and support services,<10k,0.0
11,FEMALES,Administrative and support services,10-20k,0.04564577198148927
12,FEMALES,Administrative and support services,20-30k,0.0
13,FEMALES,Administrative and support services,30-50k,0.0
14,FEMALES,Administrative and support services,50-70k,0.0
15,FEMALES,Administrative and support services,70-90k,0.0
16,FEMALES,Administrative and support services,90-110k,0.0
17,FEMALES,Administrative and support services,110-130k,0.0
18,FEMALES,Administrative and support services,130-150k,0.0
19,FEMALES,Administrative and support services,>150k,0.0
20,FEMALES,"Agriculture, forestry and fishing",<10k,0.007572570466975179
21,FEMALES,"Agriculture, forestry and fishing",10-20k,0.0
22,FEMALES,"Agriculture, forestry and fishing",20-30k,0.0
23,FEMALES,"Agriculture, forestry and fishing",30-50k,0.0
24,FEMALES,"Agriculture, forestry and fishing",50-70k,0.0
25,FEMALES,"Agriculture, forestry and fishing",70-90k,0.0
26,FEMALES,"Agriculture, forestry and fishing",90-110k,0.0
27,FEMALES,"Agriculture, forestry and fishing",110-130k,0.0
28,FEMALES,"Agriculture, forestry and fishing",130-150k,0.0
29,FEMALES,"Agriculture, forestry and fishing",>150k,0.0
30,FEMALES,Arts and recreation services,<10k,0.011674379469920067
31,FEMALES,Arts and recreation services,10-20k,0.0
32,FEMALES,Arts and recreation services,20-30k,0.0
33,FEMALES,Arts and recreation services,30-50k,0.0
34,FEMALES,Arts and recreation services,50-70k,0.0
35,FEMALES,Arts and recreation services,70-90k,0.0
36,FEMALES,Arts and recreation services,90-110k,0.0
37,FEMALES,Arts and recreation services,110-130k,0.0
38,FEMALES,Arts and recreation services,130-150k,0.0
39,FEMALES,Arts and recreation services,>150k,0.0
40,FEMALES,Construction,<10k,0.0
41,FEMALES,Construction,10-20k,0.0
42,FEMALES,Construction,20-30k,0.01125368111064367
43,FEMALES,Construction,30-50k,0.0
44,FEMALES,Construction,50-70k,0.0
45,FEMALES,Construction,70-90k,0.0
46,FEMALES,Construction,90-110k,0.0
47,FEMALES,Construction,110-130k,0.0
48,FEMALES,Construction,130-150k,0.0
49,FEMALES,Construction,>150k,0.0
50,FEMALES,Education and training,<10k,0.0
51,FEMALES,Education and training,10-20k,0.0
52,FEMALES,Education and training,20-30k,0.0
53,FEMALES,Education and training,30-50k,0.055952881783761045
54,FEMALES,Education and training,50-70k,0.0
55,FEMALES,Education and training,70-90k,0.0
56,FEMALES,Education and training,90-110k,0.0
57,FEMALES,Education and training,110-130k,0.0
58,FEMALES,Education and training,130-150k,0.0
59,FEMALES,Education and training,>150k,0.0
60,FEMALES,"Electricity, gas, water and waste services",<10k,0.0
61,FEMALES,"Electricity, gas, water and waste services",10-20k,0.0
62,FEMALES,"Electricity, gas, water and waste services",20-30k,0.0
63,FEMALES,"Electricity, gas, water and waste services",30-50k,0.0
64,FEMALES,"Electricity, gas, water and waste services",50-70k,0.0018931426167437947
65,FEMALES,"Electricity, gas, water and waste services",70-90k,0.0
66,FEMALES,"Electricity, gas, water and waste services",90-110k,0.0
67,FEMALES,"Electricity, gas, water and waste services",110-130k,0.0
68,FEMALES,"Electricity, gas, water and waste services",130-150k,0.0
69,FEMALES,"Electricity, gas, water and waste services",>150k,0.0
70,FEMALES,Finance and insurance services,<10k,0.0
71,FEMALES,Finance and insurance services,10-20k,0.0
72,FEMALES,Finance and insurance services,20-30k,0.0
73,FEMALES,Finance and insurance services,30-50k,0.02135044173327724
74,FEMALES,Finance and insurance services,50-70k,0.0
75,FEMALES,Finance and insurance services,70-90k,0.0
76,FEMALES,Finance and insurance services,90-110k,0.0
77,FEMALES,Finance and insurance services,110-130k,0.0
78,FEMALES,Finance and insurance services,130-150k,0.0
