,gender,feature,median_income,PROPORTION
0,FEMALES,Financial corporations,<10k,0.0
1,FEMALES,Financial corporations,10-20k,0.0
2,FEMALES,Financial corporations,20-30k,0.0
3,FEMALES,Financial corporations,30-50k,0.024920127795527155
4,FEMALES,Financial corporations,50-70k,0.0
5,FEMALES,Financial corporations,70-90k,0.0
6,FEMALES,Financial corporations,90-110k,0.0
7,FEMALES,Financial corporations,110-130k,0.0
8,FEMALES,Financial corporations,130-150k,0.0
9,FEMALES,Financial corporations,>150k,0.0
10,FEMALES,General government,<10k,0.0
11,FEMALES,General government,10-20k,0.0
12,FEMALES,General government,20-30k,0.0
13,FEMALES,General government,30-50k,0.0
14,FEMALES,General government,50-70k,0.10619808306709265
15,FEMALES,General government,70-90k,0.0
16,FEMALES,General government,90-110k,0.0
17,FEMALES,General government,110-130k,0.0
18,FEMALES,General government,130-150k,0.0
19,FEMALES,General government,>150k,0.0
20,FEMALES,Non-financial corporations,<10k,0.0
21,FEMALES,Non-financial corporations,10-20k,0.0
22,FEMALES,Non-financial corporations,20-30k,0.3332907348242812
23,FEMALES,Non-financial corporations,30-50k,0.0
24,FEMALES,Non-financial corporations,50-70k,0.0
25,FEMALES,Non-financial corporations,70-90k,0.0
26,FEMALES,Non-financial corporations,90-110k,0.0
27,FEMALES,Non-financial corporations,110-130k,0.0
28,FEMALES,Non-financial corporations,130-150k,0.0
29,FEMALES,Non-financial corporations,>150k,0.0
30,FEMALES,Other services,<10k,0.0
31,FEMALES,Other services,10-20k,0.025175718849840257
32,FEMALES,Other services,20-30k,0.0
33,FEMALES,Other services,30-50k,0.0
34,FEMALES,Other services,50-70k,0.0
35,FEMALES,Other services,70-90k,0.0
36,FEMALES,Other services,90-110k,0.0
37,FEMALES,Other services,110-130k,0.0
38,FEMALES,Other services,130-150k,0.0
39,FEMALES,Other services,>150k,0.0
40,MALES,Financial corporations,<10k,0.0
41,MALES,Financial corporations,10-20k,0.0
42,MALES,Financial corporations,20-30k,0.0
43,MALES,Financial corporations,30-50k,0.0
44,MALES,Financial corporations,50-70k,0.02428115015974441
45,MALES,Financial corporations,70-90k,0.0
46,MALES,Financial corporations,90-110k,0.0
47,MALES,Financial corporations,110-130k,0.0
48,MALES,Financial corporations,130-150k,0.0
49,MALES,Financial corporations,>150k,0.0
50,MALES,General government,<10k,0.0
51,MALES,General government,10-20k,0.0
52,MALES,General government,20-30k,0.0
53,MALES,General government,30-50k,0.0
54,MALES,General government,50-70k,0.0
55,MALES,General government,70-90k,0.062492012779552714
56,MALES,General government,90-110k,0.0
57,MALES,General government,110-130k,0.0
58,MALES,General government,130-150k,0.0
59,MALES,General government,>150k,0.0
60,MALES,Non-financial corporations,<10k,0.0
61,MALES,Non-financial corporations,10-20k,0.0
62,MALES,Non-financial corporations,20-30k,0.0
63,MALES,Non-financial corporations,30-50k,0.40115015974440893
64,MALES,Non-financial corporations,50-70k,0.0
65,MALES,Non-financial corporations,70-90k,0.0
66,MALES,Non-financial corporations,90-110k,0.0
67,MALES,Non-financial corporations,110-130k,0.0
68,MALES,Non-financial corporations,130-150k,0.0
69,MALES,Non-financial corporations,>150k,0.0
70,MALES,Other services,<10k,0.0
71,MALES,Other services,10-20k,0.0
72,MALES,Other services,20-30k,0.022492012779552716
73,MALES,Other services,30-50k,0.0
74,MALES,Other services,50-70k,0.0
75,MALES,Other services,70-90k,0.0
76,MALES,Other services,90-110k,0.0
77,MALES,Other services,110-130k,0.0
78,MALES,Other services,130-150k,0.0
79,MALES,Other services,>150k,0.0
