SEX,YEAR,Age group,NUM JOBS,INCOME
Male,2017,14 years and under,10.176,1244.0
Male,2018,14 years and under,11.34,1129.0
Male,2019,14 years and under,10.727,1262.5
Male,2020,14 years and under,14.367,1129.0
Male,2021,14 years and under,17.91,1115.0
Female,2017,14 years and under,12.55,1134.0
Female,2018,14 years and under,14.548,1068.0
Female,2019,14 years and under,13.274,1159.0
Female,2020,14 years and under,18.624,1130.0
Female,2021,14 years and under,23.964,1120.0
Male,2017,15 to 17 years,176.73,2969.0
Male,2018,15 to 17 years,187.703,2946.0
Male,2019,15 to 17 years,184.436,3069.0
Male,2020,15 to 17 years,218.749,2961.0
Male,2021,15 to 17 years,280.32,2827.0
Female,2017,15 to 17 years,206.194,2743.0
Female,2018,15 to 17 years,220.522,2772.0
Female,2019,15 to 17 years,213.988,2931.0
Female,2020,15 to 17 years,252.058,2750.0
Female,2021,15 to 17 years,325.7,2596.0
Male,2017,18 to 20 years,573.634,6818.0
Male,2018,18 to 20 years,580.432,7151.0
Male,2019,18 to 20 years,546.532,8169.0
Male,2020,18 to 20 years,587.778,8015.0
Male,2021,18 to 20 years,686.194,7002.0
Female,2017,18 to 20 years,593.134,5413.0
Female,2018,18 to 20 years,609.024,5635.0
Female,2019,18 to 20 years,571.247,6326.0
Female,2020,18 to 20 years,624.422,6355.5
Female,2021,18 to 20 years,737.018,5552.0
Male,2017,21 to 24 years,1011.707,13095.5
Male,2018,21 to 24 years,1023.272,13686.0
Male,2019,21 to 24 years,980.538,14959.0
Male,2020,21 to 24 years,996.675,15686.0
Male,2021,21 to 24 years,1092.872,14521.0
Female,2017,21 to 24 years,980.325,10546.0
Female,2018,21 to 24 years,1011.754,10878.0
Female,2019,21 to 24 years,975.729,12067.0
Female,2020,21 to 24 years,1014.955,12712.0
Female,2021,21 to 24 years,1135.199,11022.0
Male,2017,25 to 29 years,1371.917,21926.0
Male,2018,25 to 29 years,1410.834,22563.0
Male,2019,25 to 29 years,1393.412,23551.0
Male,2020,25 to 29 years,1416.863,23923.0
Male,2021,25 to 29 years,1503.485,23632.0
Female,2017,25 to 29 years,1263.457,18180.0
Female,2018,25 to 29 years,1314.89,18560.0
Female,2019,25 to 29 years,1294.045,20015.0
Female,2020,25 to 29 years,1326.393,20438.0
Female,2021,25 to 29 years,1438.751,19037.0
Male,2017,30 to 34 years,1265.954,37108.0
Male,2018,30 to 34 years,1292.944,37888.0
Male,2019,30 to 34 years,1292.652,38889.0
Male,2020,30 to 34 years,1336.167,37916.0
Male,2021,30 to 34 years,1423.262,36085.0
Female,2017,30 to 34 years,1111.507,25638.0
Female,2018,30 to 34 years,1162.985,26174.0
Female,2019,30 to 34 years,1169.152,28034.0
Female,2020,30 to 34 years,1233.125,27859.0
Female,2021,30 to 34 years,1357.581,25078.0
Male,2017,35 to 39 years,1111.137,47996.0
Male,2018,35 to 39 years,1156.951,49606.0
Male,2019,35 to 39 years,1172.641,51383.5
Male,2020,35 to 39 years,1216.407,51000.0
Male,2021,35 to 39 years,1301.738,48873.0
Female,2017,35 to 39 years,957.157,29798.0
Female,2018,35 to 39 years,1017.996,30788.0
Female,2019,35 to 39 years,1040.99,33328.0
Female,2020,35 to 39 years,1108.706,33489.0
Female,2021,35 to 39 years,1232.709,30461.0
Male,2017,40 to 44 years,967.983,53060.0
Male,2018,40 to 44 years,979.611,54890.0
Male,2019,40 to 44 years,982.025,56939.0
Male,2020,40 to 44 years,1024.819,57467.0
Male,2021,40 to 44 years,1110.659,56252.0
Female,2017,40 to 44 years,883.135,32676.5
Female,2018,40 to 44 years,906.235,33995.5
Female,2019,40 to 44 years,906.28,36786.0
Female,2020,40 to 44 years,960.772,37419.0
Female,2021,40 to 44 years,1076.075,34682.0
Male,2017,45 to 49 years,962.86,54623.0
Male,2018,45 to 49 years,971.287,56571.5
Male,2019,45 to 49 years,958.915,58863.0
Male,2020,45 to 49 years,960.179,59955.0
Male,2021,45 to 49 years,990.38,59537.0
Female,2017,45 to 49 years,932.328,34564.5
Female,2018,45 to 49 years,954.58,35804.0
Female,2019,45 to 49 years,937.563,38621.0
Female,2020,45 to 49 years,947.436,39697.0
Female,2021,45 to 49 years,1004.851,37393.5
Male,2017,50 to 54 years,836.52,54386.0
Male,2018,50 to 54 years,844.126,56117.0
Male,2019,50 to 54 years,847.924,58197.0
Male,2020,50 to 54 years,884.728,59756.0
Male,2021,50 to 54 years,944.121,59915.0
Female,2017,50 to 54 years,817.049,35748.0
Female,2018,50 to 54 years,840.431,36523.0
Female,2019,50 to 54 years,840.95,39172.0
Female,2020,50 to 54 years,891.619,40133.0
Female,2021,50 to 54 years,983.244,37794.0
Male,2017,55 to 59 years,770.694,52000.0
Male,2018,55 to 59 years,784.228,53607.0
Male,2019,55 to 59 years,779.776,55575.0
Male,2020,55 to 59 years,784.796,57288.0
Male,2021,55 to 59 years,810.458,57098.0
Female,2017,55 to 59 years,733.613,35628.0
Female,2018,55 to 59 years,759.622,36017.0
Female,2019,55 to 59 years,750.682,38322.0
Female,2020,55 to 59 years,765.416,39704.0
Female,2021,55 to 59 years,814.372,36846.0
Male,2017,60 to 64 years,560.304,43445.0
Male,2018,60 to 64 years,581.29,44975.0
Male,2019,60 to 64 years,591.859,47065.0
Male,2020,60 to 64 years,613.563,49859.0
Male,2021,60 to 64 years,655.919,48988.0
Female,2017,60 to 64 years,492.306,31754.0
Female,2018,60 to 64 years,523.526,31995.0
Female,2019,60 to 64 years,533.174,34400.0
Female,2020,60 to 64 years,561.165,36470.0
Female,2021,60 to 64 years,614.998,33221.0
Male,2017,65 to 69 years,298.282,27183.0
Male,2018,65 to 69 years,313.033,27591.0
