feature,year,gender,number_of_jobs,median_income
1-13 weeks,2017-18,MALES,1351.349,4268
1-13 weeks,2018-19,MALES,1306.505,4489
1-13 weeks,2019-20,MALES,989.349,4671
1-13 weeks,2020-21,MALES,1270.808,4440
1-13 weeks,2021-22,MALES,1525.042,4480
1-13 weeks,2017-18,FEMALES,1130.829,2654
1-13 weeks,2018-19,FEMALES,1179.491,2666
1-13 weeks,2019-20,FEMALES,848.573,2938
1-13 weeks,2020-21,FEMALES,1191.656,2864
1-13 weeks,2021-22,FEMALES,1513.657,2723
1-13 weeks,2017-18,PERSONS,2482.184,3438
1-13 weeks,2018-19,PERSONS,2486.002,3513
1-13 weeks,2019-20,PERSONS,1837.924,3776
1-13 weeks,2020-21,PERSONS,2465.834,3570
1-13 weeks,2021-22,PERSONS,3042.167,3480
14-26 weeks,2017-18,MALES,996.315,16623
14-26 weeks,2018-19,MALES,1019.464,16490
14-26 weeks,2019-20,MALES,1011.268,15186
14-26 weeks,2020-21,MALES,1075.293,16017
14-26 weeks,2021-22,MALES,1337.04,16440
14-26 weeks,2017-18,FEMALES,943.622,10300
14-26 weeks,2018-19,FEMALES,986.966,10516
14-26 weeks,2019-20,FEMALES,971.414,9641
14-26 weeks,2020-21,FEMALES,1078.378,10758
14-26 weeks,2021-22,FEMALES,1389.211,10468
14-26 weeks,2017-18,PERSONS,1939.936,13296
14-26 weeks,2018-19,PERSONS,2006.425,13314
14-26 weeks,2019-20,PERSONS,1982.678,12275
14-26 weeks,2020-21,PERSONS,2156.364,13095
14-26 weeks,2021-22,PERSONS,2729.485,13105
27-39 weeks,2017-18,MALES,742.515,26931
27-39 weeks,2018-19,MALES,808.24,25518
27-39 weeks,2019-20,MALES,800.142,22032
27-39 weeks,2020-21,MALES,838.977,24025
27-39 weeks,2021-22,MALES,997.24,26437
27-39 weeks,2017-18,FEMALES,710.711,16009
27-39 weeks,2018-19,FEMALES,779.475,15772
27-39 weeks,2019-20,FEMALES,786.006,13893
27-39 weeks,2020-21,FEMALES,840.118,16666
27-39 weeks,2021-22,FEMALES,1034.093,16936
27-39 weeks,2017-18,PERSONS,1453.232,20858
27-39 weeks,2018-19,PERSONS,1587.716,19931
27-39 weeks,2019-20,PERSONS,1586.144,17279
27-39 weeks,2020-21,PERSONS,1681.805,19650
27-39 weeks,2021-22,PERSONS,2034.111,20779
40 to 52 weeks,2017-18,MALES,5531.584,59449
40 to 52 weeks,2018-19,MALES,5702.994,60450
40 to 52 weeks,2019-20,MALES,5964.353,60763
40 to 52 weeks,2020-21,MALES,5974.195,64595
40 to 52 weeks,2021-22,MALES,6109.573,65918
40 to 52 weeks,2017-18,FEMALES,5562.999,40154
40 to 52 weeks,2018-19,FEMALES,5766.27,41170
40 to 52 weeks,2019-20,FEMALES,5949.556,41617
40 to 52 weeks,2020-21,FEMALES,6008.636,45594
40 to 52 weeks,2021-22,FEMALES,6249.125,45607
40 to 52 weeks,2017-18,PERSONS,11094.581,48804
40 to 52 weeks,2018-19,PERSONS,11469.258,49935
40 to 52 weeks,2019-20,PERSONS,11913.906,50242
40 to 52 weeks,2020-21,PERSONS,11988.759,54138
40 to 52 weeks,2021-22,PERSONS,12363.895,54808
Total,2017-18,MALES,10168.43,30944
Total,2018-19,MALES,10373.379,32038
Total,2019-20,MALES,10303.172,34145
Total,2020-21,MALES,10636.359,34421
Total,2021-22,MALES,11448.061,32210
Total,2017-18,FEMALES,9394.999,21378
Total,2018-19,FEMALES,9764.746,21882
Total,2019-20,FEMALES,9686.922,24384
Total,2020-21,FEMALES,10160.816,24721
Total,2021-22,FEMALES,11252.46,21456
Total,2017-18,PERSONS,19563.644,25625
Total,2018-19,PERSONS,20138.132,26337
Total,2019-20,PERSONS,19990.087,28651
Total,2020-21,PERSONS,20811.875,28926
Total,2021-22,PERSONS,22715.259,26136
